name,schulform,stadt,standorttyp,lat,lon,street,plz,data_2014
Gesamtschule Espenstraße,Gesamtschule,Mönchengladbach,5,51.154,6.428,Gesamtschule Espenstraße,Espenstraße,0
Hans-Jonas-Gesamtschule Neuwerk,Gesamtschule,Mönchengladbach,4,51.22,6.466,Nespelerstraße 75,41066,0
Gesamtschule Hardt,Gesamtschule,Mönchengladbach,2,51.198,6.351,Vossenbäumchen 50,41169,0
Gesamtschule Rheydt-Mülfort,Gesamtschule,Mönchengladbach,4,51.153,6.457,Realschulstraße 14,41238,0
Gesamtschule Stadtmitte,Gesamtschule,Mönchengladbach,4,51.19,6.422,Aachener Str. 179,41061,0
Gesamtschule Volksgarten,Gesamtschule,Mönchengladbach,5,51.189,6.448,Volksgartenstraße 71-75,41065,0
Gemeinschaftshauptschule Dohler Straße,Hauptschule,Mönchengladbach,5,51.177,6.463,Dohler Str. 79,41238,0
Gemeinschaftshauptschule Dohr,Hauptschule,Mönchengladbach,5,51.154,6.464,Altenbroicher Str. 50-52,41238,0
Heinrich-Lersch-Schule,Hauptschule,Mönchengladbach,5,51.199,6.461,Rohrstraße 43,41065,0
Gemeinschaftshauptschule Kirschhecke,Hauptschule,Mönchengladbach,5,51.141,6.457,Kirschhecke 10,41199,0
Gymnasium Am Geroweiher,Gymnasium,Mönchengladbach,4,51.193,6.427,Balderichstraße 8,41061,0
Gymnasium An der Gartenstraße,Gymnasium,Mönchengladbach,4,51.174,6.447,Gartenstraße 154,41236,0
Franz-Meyers-Gymnasium,Gymnasium,Mönchengladbach,3,51.157,6.486,Asternweg 1,41238,0
Hugo-Junkers-Gymnasium,Gymnasium,Mönchengladbach,5,51.171,6.444,Brucknerallee 58,41236,0
Bischöfliche Marienschule,Gymnasium,Mönchengladbach,3,51.205,6.424,Viersener Str. 209,41063,0
Mathematisch-Naturwissenschaftliches Gymnasium,Gymnasium,Mönchengladbach,4,51.189,6.438,Rheydter Str. 65,41065,0
Gymnasium Odenkirchen,Gymnasium,Mönchengladbach,4,51.139,6.456,Mülgaustraße 43,41199,0
Gymnasium Rheindahlen,Gymnasium,Mönchengladbach,2,51.15,6.367,Geusenstraße 29,41179,0
Stiftisches Humanistisches Gymnasium,Gymnasium,Mönchengladbach,2,51.193,6.435,Abteistraße 17,41061,0
Katholische Hauptschule Neuwerk,Katholische Hauptschule,Mönchengladbach,4,51.22,6.467,Nespelerstraße 75,41066,0
Katholische Hauptschule Rheindahlen,Katholische Hauptschule,Mönchengladbach,2,51.15,6.367,Geusenstraße 29,41179,0
Katholische Hauptschule Stadtmitte,Katholische Hauptschule,Mönchengladbach,4,51.196,6.428,Aachener Str. 52,41061,0
Realschule an der Niers,Realschule,Mönchengladbach,5,51.152,6.456,Giesenkirchener Str. 8,41238,0
Geschwister-Scholl-Realschule,Realschule,Mönchengladbach,4,51.201,6.408,Karl-Fegers-Straße 85,41068,0
Realschule Volksgarten,Realschule,Mönchengladbach,5,51.189,6.454,Luise-Vollmar-Straße 25,41065,0
Realschule Wickrath,Realschule,Mönchengladbach,4,51.127,6.407,Kreuzhütte 24,41189,0
Gustav-Heinemann-Schule,Gesamtschule,Mülheim an der Ruhr,3,51.449,6.903,Boverstraße 150,45473,0
Gesamtschule Saarn,Gesamtschule,Mülheim an der Ruhr,4,51.401,6.869,Lehnerstraße 65,45481,0
Willy-Brandt-Gesamtschule,Gesamtschule,Mülheim an der Ruhr,4,51.453,6.86,Willy−Brandt−Schule,Oberhausener,0
Städtische Gemeinschaftshauptschule Dümpten (Schule am Hexbachtal),Hauptschule,Mülheim an der Ruhr,5,51.462,6.908,Borbecker Str. 86-92,45475,0
Städtisches Gymnasium Broich,Gymnasium,Mülheim an der Ruhr,3,51.421,6.863,Ritterstraße 21,45479,0
Städtisches Gymnasium Heißen,Gymnasium,Mülheim an der Ruhr,4,51.427,6.94,Kleiststraße 50,45472,0
Karl-Ziegler-Schule,Gymnasium,Mülheim an der Ruhr,4,51.423,6.882,Schulstraße 2-6,45468,0
Luisenschule,Gymnasium,Mülheim an der Ruhr,3,51.423,6.9,An den Buchen 36,45470,0
Otto-Pankok-Schule,Gymnasium,Mülheim an der Ruhr,3,51.426,6.895,Von-Bock-Straße 81,45468,0
Realschule Broich,Realschule,Mülheim an der Ruhr,3,51.42,6.863,Holzstraße 80,45479,0
Realschule Stadtmitte,Realschule,Mülheim an der Ruhr,4,51.425,6.895,Oberstraße 92,45468,0
