state,ags,name,plz,lon,lat,search
13,13075083,Lubmin,17509,13.614,54.135,lubmin
13,13075097,Neu Boltenhagen,17509,13.609,54.066,neu boltenhagen
13,13075120,Rubenow,17509,13.699,54.099,rubenow
13,13075146,Wusterhusen,17509,13.616,54.115,wusterhusen
13,13075036,Görmin,17121,13.271,53.991,görmin
13,13075082,Loitz,17121,13.13,53.974,loitz
13,13075123,Sassen-Trantow,17121,13.193,54.003,sassen-trantow
13,13075004,Altwigshagen,17379,13.836,53.704,altwigshagen
13,13075033,Ferdinandshof,17379,13.889,53.665,ferdinandshof
13,13075045,Hammer a.d. Uecker,17358,13.978,53.6,hammer a.d. uecker
13,13075048,Heinrichswalde,17379,13.777,53.614,heinrichswalde
13,13075118,Rothemühl,17379,13.822,53.595,rothemühl
13,13075131,Torgelow,17358,14.011,53.63,torgelow
13,13075143,Wilhelmsburg,17379,13.859,53.642,wilhelmsburg
13,13075017,Brietzig,17309,13.903,53.476,brietzig
13,13075032,Fahrenwalde,17309,14.066,53.439,fahrenwalde
13,13075042,Groß Luckow,17337,13.829,53.536,groß luckow
13,13075055,Jatznick,17309,13.939,53.581,jatznick
13,13075063,Koblentz,17309,14.133,53.533,koblentz
13,13075071,Krugsdorf,17309,14.083,53.525,krugsdorf
13,13075103,Nieden,17309,13.921,53.44,nieden
13,13075104,Papendorf,17309,13.947,53.496,papendorf
13,13075109,Polzow,17309,14.061,53.499,polzow
13,13075115,Rollwitz,17309,13.977,53.472,rollwitz
13,13075126,Schönwalde,17309,13.904,53.543,schönwalde
13,13075138,Viereck,17309,14.041,53.55,viereck
13,13075149,Zerrenthin,17309,14.093,53.495,zerrenthin
13,13075058,Karlshagen,17449,13.831,54.114,karlshagen
13,13075092,Mölschow,17449,13.833,54.077,mölschow
13,13075106,Peenemünde,17449,13.769,54.136,peenemünde
13,13075133,Trassenheide,17449,13.862,54.087,trassenheide
13,13075151,Zinnowitz,17454,13.909,54.077,zinnowitz
13,13075010,Benz,17429,14.07,53.941,benz
13,13075026,Dargen,17419,14.065,53.887,dargen
13,13075034,Garz,17419,14.17,53.882,garz
13,13075056,Kamminke,17419,14.206,53.869,kamminke
13,13075065,Korswandt,17419,14.163,53.918,korswandt
13,13075066,Koserow,17459,14.0,54.049,koserow
13,13075080,Loddin,17459,14.007,54.023,loddin
13,13075090,Mellenthin,17429,14.012,53.923,mellenthin
13,13075111,Pudagla,17429,14.068,53.968,pudagla
13,13075114,Rankwitz,17406,13.928,53.947,rankwitz
13,13075129,Stolpe auf Usedom,17406,13.989,53.868,stolpe auf usedom
13,13075135,Ückeritz,17459,14.047,54.014,ückeritz
13,13075137,Usedom,17406,13.92,53.874,usedom
13,13075148,Zempin,17459,13.954,54.067,zempin
13,13075152,Zirchow,17419,14.141,53.891,zirchow
13,13075006,Bandelin,17506,13.379,53.965,bandelin
13,13075040,Gribow,17506,13.489,53.947,gribow
13,13075041,Groß Kiesow,17495,13.477,54.012,groß kiesow
13,13075043,Groß Polzin,17390,13.593,53.894,groß polzin
13,13075044,Gützkow,17506,13.41,53.938,gützkow
13,13075057,Karlsburg,17495,13.609,53.972,karlsburg
13,13075061,Klein Bünzow,17390,13.632,53.931,klein bünzow
13,13075086,Lühmannsdorf,17495,13.628,54.007,lühmannsdorf
13,13075094,Murchin,17390,13.742,53.906,murchin
13,13075121,Rubkow,17390,13.722,53.936,rubkow
13,13075125,Schmatzin,17390,13.551,53.924,schmatzin
13,13075145,Wrangelsburg,17495,13.594,54.017,wrangelsburg
13,13075150,Ziethen,17390,13.672,53.888,ziethen
13,13075154,Züssow,17495,13.546,53.982,züssow
13,13076014,Boizenburg/Elbe,19258,10.723,53.374,boizenburg/elbe
13,13076060,Hagenow,19230,11.192,53.432,hagenow
13,13076088,Lübtheen,19249,11.083,53.301,lübtheen
