id,name,city,council,date,value,lat,lon,kind,area
26541294,252 ML  W18,Schloß Holte-Stukenbrock,Detmold,2015-08-11,6.7,51.9203,8.6476,GW-Messstelle,Wald
110200469,TE/46 Laggenbeck,Ibbenbüren,Münster,2015-11-24,6.7,52.2642,7.7693,GW-Messstelle,"bebaut, besiedelt"
73726280,WLV VELKEN QF,Ruppichteroth,Köln,2016-03-08,6.6,50.8423,7.5203,gefasste Quelle,Wald
110070227,VII/22 SANKT-ARNOLD,Neuenkirchen,Münster,2015-06-26,6.5,52.2182,7.3871,GW-Messstelle,Acker
10407479,QUELLE WALDORF,Dahlem,Köln,2015-09-17,6.4,50.3863,6.5898,gefasste Quelle,Wald
129700782,Niederlaasphe,Bad Laasphe,Arnsberg,2015-10-13,6.4,50.9227,8.4422,GW-Messstelle,Grünland
94150175,SBr Latroptal,Schmallenberg,Arnsberg,2015-10-27,6.3,51.1241,8.279,Sickerleitung,Grünland
110340024,ST/2-HALTERNER MARK,Horstmar,Münster,2015-04-14,6.2,52.1273,7.2657,GW-Messstelle,Acker
94160739,Quelle Altenrüthen,Rüthen,Arnsberg,2016-03-07,6.2,51.4922,8.4088,ungefasste Quelle,Acker
100741010,HF RMW Brunnenstr,Herford,Detmold,2015-03-31,6.0,52.0992,8.6954,Sammelschacht,"bebaut, besiedelt"
73761308,WBV THOMASBERG EB 6,Königswinter,Köln,2015-05-19,6.0,50.7259,7.2309,Vertikalfilterbrunnen (Bohrbrunnen),Acker
10200411,SCHMIDTHEIM NR.65,Dahlem,Köln,2015-03-19,5.9,50.4141,6.5532,Schachtbrunnen,"bebaut, besiedelt"
94180052,Que Im Ruthen,Schmallenberg,Arnsberg,2015-05-06,5.9,51.1607,8.1634,gefasste Quelle,Acker
10403048,Kirchhoven  PB 13,Heinsberg (Rhld.),Köln,2015-10-15,5.8,51.0551,6.0606,GW-Messstelle,Acker
21172810,OL 270N,Delbrück,Detmold,2015-10-08,5.8,51.7584,8.6172,GW-Messstelle,Acker
80301150,ELMPTER BRUCH   263,Niederkrüchten,Düsseldorf,2015-08-31,5.7,51.2221,6.1024,GW-Messstelle,Wald
129700319,Sombornquelle,Bad Berleburg,Arnsberg,2015-04-28,5.7,51.1019,8.2402,gefasste Quelle,Wald
94150461,Que 2129 Plackweg,Meschede,Arnsberg,2015-12-14,5.6,51.4049,8.2278,ungefasste Quelle,Wald
76769306,MAYER ODENTHAL EB,Odenthal,Köln,2015-04-08,5.6,51.0601,7.1325,Vertikalfilterbrunnen (Bohrbrunnen),Wald
10409403,Klausbachquelle,Blankenheim,Köln,2015-09-17,5.5,50.362,6.7549,ungefasste Quelle,Grünland
21000153,613 LGD Ummeln,Bielefeld,Detmold,2015-10-15,5.5,51.9613,8.4217,GW-Messstelle,Acker
129700770,Truftetal,Bad Berleburg,Arnsberg,2015-04-13,5.5,51.062,8.3658,Schachtbrunnen,Wald
73775605,WG NEUENOTHE,Bergneustadt,Köln,2015-04-07,5.4,51.0138,7.716,Schachtbrunnen,Wald
11006985,Kall Zus,Kall,Köln,2016-01-26,5.3,50.5453,6.5643,Schachtbrunnen,"bebaut, besiedelt"
20781878,WIEDG023F,Rheda-Wiedenbrück,Detmold,2015-03-23,5.3,51.8528,8.3355,GW-Messstelle,Acker
